,open,close,high,low,volume,money
2015-06-01 09:10:00,2361.0,2363.0,2369.0,2361.0,258374.0,6110554300.0
2015-06-01 09:20:00,2363.0,2363.0,2365.0,2360.0,113332.0,2677880860.0
2015-06-01 09:30:00,2363.0,2357.0,2363.0,2354.0,189442.0,4467670880.0
2015-06-01 09:40:00,2358.0,2359.0,2359.0,2356.0,68204.0,1608015820.0
2015-06-01 09:50:00,2359.0,2358.0,2359.0,2356.0,63486.0,1496436720.0
2015-06-01 10:00:00,2357.0,2359.0,2360.0,2355.0,50456.0,1189394120.0
2015-06-01 10:10:00,2360.0,2356.0,2360.0,2355.0,47392.0,1117647620.0
2015-06-01 10:35:00,2356.0,2356.0,2356.0,2351.0,113066.0,2660823240.0
2015-06-01 10:45:00,2355.0,2352.0,2356.0,2349.0,111910.0,2632287920.0
2015-06-01 10:55:00,2353.0,2353.0,2354.0,2351.0,29860.0,702461820.0
2015-06-01 11:05:00,2353.0,2352.0,2354.0,2351.0,31616.0,743760620.0
2015-06-01 11:15:00,2353.0,2356.0,2357.0,2347.0,110272.0,2593862040.0
2015-06-01 11:25:00,2357.0,2359.0,2361.0,2355.0,175314.0,4135221460.0
2015-06-01 13:35:00,2360.0,2358.0,2362.0,2357.0,83300.0,1965461260.0
2015-06-01 13:45:00,2357.0,2360.0,2363.0,2357.0,105566.0,2492140160.0
2015-06-01 13:55:00,2360.0,2359.0,2363.0,2359.0,50912.0,1202132060.0
2015-06-01 14:05:00,2360.0,2361.0,2362.0,2358.0,47832.0,1128709380.0
2015-06-01 14:15:00,2361.0,2364.0,2364.0,2359.0,79522.0,1877920700.0
2015-06-01 14:25:00,2363.0,2363.0,2365.0,2361.0,89170.0,2107140980.0
2015-06-01 14:35:00,2362.0,2370.0,2370.0,2362.0,232816.0,5509288640.0
2015-06-01 14:45:00,2369.0,2383.0,2384.0,2369.0,582510.0,13843291520.0
2015-06-01 14:55:00,2383.0,2370.0,2386.0,2370.0,449934.0,10706564060.0
2015-06-01 21:05:00,2370.0,2374.0,2377.0,2369.0,258208.0,6127716140.0
2015-06-01 21:15:00,2373.0,2377.0,2379.0,2373.0,141618.0,3365328480.0
2015-06-01 21:25:00,2376.0,2374.0,2378.0,2372.0,88092.0,2092059100.0
2015-06-01 21:35:00,2375.0,2373.0,2376.0,2372.0,78498.0,1863108980.0
2015-06-01 21:45:00,2373.0,2373.0,2375.0,2373.0,37372.0,887093200.0
2015-06-01 21:55:00,2374.0,2374.0,2375.0,2373.0,32672.0,775788000.0
2015-06-01 22:05:00,2375.0,2376.0,2378.0,2374.0,84156.0,1999934040.0
2015-06-01 22:15:00,2375.0,2374.0,2377.0,2373.0,50726.0,1204654960.0
2015-06-01 22:25:00,2373.0,2375.0,2376.0,2372.0,41130.0,976579380.0
2015-06-01 22:35:00,2375.0,2375.0,2376.0,2374.0,6042.0,143477560.0
2015-06-01 22:45:00,2374.0,2373.0,2375.0,2373.0,18988.0,450788920.0
2015-06-01 22:55:00,2374.0,2374.0,2375.0,2373.0,14990.0,355793560.0
2015-06-01 23:05:00,2374.0,2373.0,2375.0,2372.0,18634.0,442246420.0
2015-06-01 23:15:00,2373.0,2370.0,2373.0,2369.0,62662.0,1485498520.0
2015-06-01 23:25:00,2370.0,2372.0,2372.0,2369.0,20340.0,482163240.0
2015-06-01 23:35:00,2372.0,2371.0,2372.0,2369.0,21674.0,513690600.0
2015-06-01 23:45:00,2371.0,2370.0,2371.0,2370.0,5882.0,139413900.0
2015-06-01 23:55:00,2370.0,2370.0,2371.0,2369.0,5522.0,130874160.0
2015-06-02 00:05:00,2371.0,2371.0,2371.0,2369.0,5564.0,131872900.0
