,open,close,high,low,volume,money
2015-06-01 10:00:00,2361.0,2359.0,2369.0,2354.0,743294.0,17549952700.0
2015-06-01 11:15:00,2360.0,2356.0,2360.0,2347.0,444116.0,10450843260.0
2015-06-01 14:15:00,2357.0,2364.0,2364.0,2355.0,542446.0,12801585020.0
2015-06-01 21:15:00,2363.0,2377.0,2386.0,2361.0,1754256.0,41659329820.0
2015-06-01 22:15:00,2376.0,2374.0,2378.0,2372.0,371516.0,8822638280.0
2015-06-01 23:15:00,2373.0,2370.0,2376.0,2369.0,162446.0,3854384360.0
2015-06-02 00:15:00,2370.0,2370.0,2372.0,2369.0,61820.0,1465278540.0
2015-06-02 09:15:00,2371.0,2370.0,2376.0,2368.0,214654.0,5091778440.0
2015-06-02 10:15:00,2370.0,2370.0,2372.0,2366.0,332324.0,7872332780.0
2015-06-02 11:30:00,2370.0,2367.0,2377.0,2363.0,546786.0,12957091500.0
2015-06-02 14:30:00,2368.0,2368.0,2371.0,2365.0,333404.0,7895135160.0
2015-06-02 21:30:00,2367.0,2373.0,2379.0,2367.0,569844.0,13530157340.0
2015-06-02 22:30:00,2373.0,2374.0,2375.0,2370.0,146318.0,3471813840.0
2015-06-02 23:30:00,2373.0,2369.0,2374.0,2368.0,85272.0,2021912520.0
2015-06-03 00:30:00,2370.0,2371.0,2371.0,2368.0,43804.0,1037961480.0
2015-06-03 09:30:00,2371.0,2362.0,2371.0,2360.0,323926.0,7661891740.0
2015-06-03 10:45:00,2362.0,2362.0,2363.0,2358.0,328646.0,7759564100.0
2015-06-03 13:45:00,2362.0,2365.0,2366.0,2356.0,422888.0,9986415320.0
2015-06-03 14:45:00,2365.0,2356.0,2368.0,2355.0,540686.0,12760497760.0
2015-06-03 21:45:00,2356.0,2345.0,2358.0,2342.0,785490.0,18445377500.0
2015-06-03 22:45:00,2346.0,2340.0,2346.0,2339.0,345482.0,8092850060.0
2015-06-03 23:45:00,2340.0,2343.0,2345.0,2339.0,130656.0,3060221440.0
2015-06-04 00:45:00,2343.0,2342.0,2344.0,2342.0,21370.0,500674640.0
2015-06-04 09:45:00,2343.0,2345.0,2345.0,2336.0,532274.0,12455040220.0
2015-06-04 11:00:00,2344.0,2349.0,2352.0,2341.0,484706.0,11377684820.0
2015-06-04 14:00:00,2348.0,2356.0,2356.0,2345.0,596452.0,14025422640.0
2015-06-04 15:00:00,2356.0,2356.0,2359.0,2351.0,462148.0,10883080300.0
2015-06-04 22:00:00,2356.0,2349.0,2364.0,2347.0,495394.0,11654341240.0
2015-06-04 23:00:00,2349.0,2347.0,2351.0,2346.0,149488.0,3511386520.0
2015-06-05 00:00:00,2348.0,2346.0,2348.0,2343.0,131192.0,3077078640.0
2015-06-05 01:00:00,2346.0,2348.0,2348.0,2345.0,36422.0,854558060.0
2015-06-05 10:00:00,2348.0,2342.0,2349.0,2339.0,339586.0,7957697940.0
2015-06-05 11:15:00,2342.0,2330.0,2344.0,2326.0,539468.0,12591317580.0
2015-06-05 14:15:00,2330.0,2340.0,2343.0,2328.0,562712.0,13148161140.0
2015-06-05 21:15:00,2339.0,2333.0,2344.0,2329.0,539106.0,12601731060.0
2015-06-05 22:15:00,2334.0,2335.0,2336.0,2331.0,138030.0,3220621800.0
2015-06-05 23:15:00,2336.0,2335.0,2336.0,2333.0,58662.0,1369540800.0
2015-06-06 00:15:00,2335.0,2338.0,2341.0,2333.0,120332.0,2813120800.0
2015-06-08 09:15:00,2338.0,2328.0,2340.0,2327.0,310298.0,7235839160.0
2015-06-08 10:15:00,2328.0,2335.0,2337.0,2327.0,423574.0,9877593500.0
