,open,close,high,low,volume,money
2013-06-03,3430.0,3483.0,3485.0,3430.0,3917834.0,135524283480.0
2013-06-04,3488.0,3478.0,3494.0,3456.0,2956270.0,102678319200.0
2013-06-05,3479.0,3482.0,3490.0,3463.0,2330462.0,81050238540.0
2013-06-06,3465.0,3421.0,3471.0,3411.0,3189430.0,109544001660.0
2013-06-07,3419.0,3421.0,3425.0,3391.0,2436136.0,83064504800.0
2013-06-13,3391.0,3422.0,3442.0,3386.0,2399476.0,82142009360.0
2013-06-14,3419.0,3424.0,3432.0,3382.0,2815678.0,96056652000.0
2013-06-17,3460.0,3477.0,3508.0,3453.0,3047306.0,106142580960.0
2013-06-18,3483.0,3485.0,3492.0,3472.0,1845984.0,64298839640.0
2013-06-19,3486.0,3526.0,3530.0,3464.0,3455300.0,120868035860.0
2013-06-20,3512.0,3482.0,3515.0,3454.0,3944130.0,137406644100.0
2013-06-21,3450.0,3516.0,3547.0,3431.0,5428592.0,189629346500.0
2013-06-24,3501.0,3450.0,3505.0,3442.0,4130862.0,143278642520.0
2013-06-25,3459.0,3456.0,3466.0,3415.0,3419640.0,117710433380.0
2013-06-26,3456.0,3425.0,3469.0,3418.0,2039478.0,70067420100.0
2013-06-27,3435.0,3471.0,3486.0,3415.0,2095732.0,72511217360.0
2013-06-28,3463.0,3488.0,3502.0,3460.0,1223880.0,42614489160.0
2013-07-01,3481.0,3484.0,3496.0,3465.0,758412.0,26403525720.0
2013-07-02,3500.0,3504.0,3507.0,3486.0,546146.0,19109764760.0
2013-07-03,3508.0,3548.0,3555.0,3500.0,673242.0,23755097820.0
2013-07-04,3621.0,3621.0,3635.0,3599.0,2839812.0,102738651800.0
2013-07-05,3623.0,3621.0,3638.0,3616.0,2329886.0,84481527620.0
2013-07-08,3618.0,3608.0,3623.0,3575.0,3275272.0,117776340140.0
2013-07-09,3612.0,3597.0,3624.0,3587.0,2856884.0,103030428460.0
2013-07-10,3594.0,3638.0,3650.0,3579.0,3901094.0,141011698520.0
2013-07-11,3649.0,3646.0,3700.0,3631.0,4498942.0,164616854000.0
